WONUM,TASKDESC,TASKDESC - CATEGORY,WOC.TEXTS
1423,DCP1 - WC5 ANNUAL CHILLER MAINTENANCE,TASK,"21/11/2011 - YBI: COMPRESSOR OIL DRAINED & HANDOVER TO FRANCIS/MHI FOR ANALYSIS.
21/11/2011 - YBI : MAINTENANCE WORK SHALL BE DONE BASED ON WORKSHEET PROVIDED.
21/11/2011 - LOCK OUT INLET & OUTLET VALVED THEREAFTER DRAIN OUT COOLING WATER OPEN WATER BOX - MALEK,SALIHIN & MOKTHER.
           - LOCK OUT INLET & OUTLET VALVE THEREAFTER RECOVER CHILLED WATER & TRANSFER TO CONTAINER OPEN WATER BOX- REZUAN, MALEK, MOKTHER & SALIHIN.
           - MHI REMOVE EVAP. & COND. SAFETY VALVE FOR TESTING. - DAITO
22/11/2011 - OPEN WCDP-4 COOLING WATER STRAINER FOR CLEANING & WCP-4 CHILLED WATER STRAINER FOR CLEANING  -REZUAN ,MOKTHER,LIN SONG,YEO & SALIHIN.
           - CLEAN EVAPARTOR TUBE -  MOKTHER, LIN SONG & YEO.
           - SERVICE CLEAN & MEGGER VSD & AUTO TRANS FOR WCP4,WC4-1,WC4-2 & WCDP4 - MOKTHER & LIN SONG
           - MHI REPLACED OIL FILTER & REFRIGERANT FILTER DRIER - DAITO
           - MHI VERIFY PT & PRESSURE GAUAGE. - DAITO
           - WCDP5 OPEN DE & NDE TO CHECK, CLEAN & REPLACED THE 'O' RING - ANTHONY,YEO & SALIHIN.
23/11/2011 - SERVICE WCP4 & WCDP4 PUMP/MOTOR  GREASING THE BEARINGS - MOKTHER , LIN SONG & YEO.
           - CONTINUE CLEANING EVAP TUBE FOUND BROKEN STRAINER SUPPORT ROD INSIDE WATER BOX  & TUBE. 
             LAST STRAINER REPLACEMENT IN MARCH 2011 - LIN SONG,MOKTHER & YEO.
           - MHI FIXED BACK SAFETY - DAITO
24/11/2011 - AFTER EVAP.TUBE INSPECTION BY  - MR. TEO
           - BOX BACK COND. WATER BOX COVER RECHARGE BACK CHILLED WATER - MALEK, MOKTHER & LIN SONG
           - FIXED BACK WCDP5 MECHANICAL SEAL & PRESSURE TEST - ANTHONY, YEO , SALIHIN.
           - MHI CARRY OUT CONTROL SIMULATION - DAITO
25/11/2011 - BOX BACK EVAP. WATER BOX COVER AFTER MR. TEO INSPECTION.CHARGE BACK CHILLED WATER. - SALIHIN, MOKTHER & LIN SONG
           - SEND MECHANICAL SEAL TO CHEN BROTHERS ENGRG. FRO RELAPPING. - YUSLANE
28/11/2011 - REINSTALL MECHANICAL SEAL TO THE PUMP SHAFT - ANTHONY,SALIHIN,LIN SONG,CHOW KOK MENG,MALEK & MOKTHER.
29/11/2011 - REINSTALL PUMP SHAFT & HOUSING ON WCDP5 & CARRY LEAK TEST. - YEO, LIN SONG,MALEK,MOKTHER & SALIHIN."
1423,DCP1 - WC5 ANNUAL CHILLER MAINTENANCE,TASK,"21/11/2011 - YBI: COMPRESSOR OIL DRAINED & HANDOVER TO FRANCIS/MHI FOR ANALYSIS.
21/11/2011 - YBI : MAINTENANCE WORK SHALL BE DONE BASED ON WORKSHEET PROVIDED.
21/11/2011 - LOCK OUT INLET & OUTLET VALVED THEREAFTER DRAIN OUT COOLING WATER OPEN WATER BOX - MALEK,SALIHIN & MOKTHER.
           - LOCK OUT INLET & OUTLET VALVE THEREAFTER RECOVER CHILLED WATER & TRANSFER TO CONTAINER OPEN WATER BOX- REZUAN, MALEK, MOKTHER & SALIHIN.
           - MHI REMOVE EVAP. & COND. SAFETY VALVE FOR TESTING. - DAITO
22/11/2011 - OPEN WCDP-4 COOLING WATER STRAINER FOR CLEANING & WCP-4 CHILLED WATER STRAINER FOR CLEANING  -REZUAN ,MOKTHER,LIN SONG,YEO & SALIHIN.
           - CLEAN EVAPARTOR TUBE -  MOKTHER, LIN SONG & YEO.
           - SERVICE CLEAN & MEGGER VSD & AUTO TRANS FOR WCP4,WC4-1,WC4-2 & WCDP4 - MOKTHER & LIN SONG
           - MHI REPLACED OIL FILTER & REFRIGERANT FILTER DRIER - DAITO
           - MHI VERIFY PT & PRESSURE GAUAGE. - DAITO
           - WCDP5 OPEN DE & NDE TO CHECK, CLEAN & REPLACED THE 'O' RING - ANTHONY,YEO & SALIHIN.
23/11/2011 - SERVICE WCP4 & WCDP4 PUMP/MOTOR  GREASING THE BEARINGS - MOKTHER , LIN SONG & YEO.
           - CONTINUE CLEANING EVAP TUBE FOUND BROKEN STRAINER SUPPORT ROD INSIDE WATER BOX  & TUBE. 
             LAST STRAINER REPLACEMENT IN MARCH 2011 - LIN SONG,MOKTHER & YEO.
           - MHI FIXED BACK SAFETY - DAITO
24/11/2011 - AFTER EVAP.TUBE INSPECTION BY  - MR. TEO
           - BOX BACK COND. WATER BOX COVER RECHARGE BACK CHILLED WATER - MALEK, MOKTHER & LIN SONG
           - FIXED BACK WCDP5 MECHANICAL SEAL & PRESSURE TEST - ANTHONY, YEO , SALIHIN.
           - MHI CARRY OUT CONTROL SIMULATION - DAITO
25/11/2011 - BOX BACK EVAP. WATER BOX COVER AFTER MR. TEO INSPECTION.CHARGE BACK CHILLED WATER. - SALIHIN, MOKTHER & LIN SONG
           - SEND MECHANICAL SEAL TO CHEN BROTHERS ENGRG. FRO RELAPPING. - YUSLANE
28/11/2011 - REINSTALL MECHANICAL SEAL TO THE PUMP SHAFT - ANTHONY,SALIHIN,LIN SONG,CHOW KOK MENG,MALEK & MOKTHER.
29/11/2011 - REINSTALL PUMP SHAFT & HOUSING ON WCDP5 & CARRY LEAK TEST. - YEO, LIN SONG,MALEK,MOKTHER & SALIHIN."
1424,DCP2 - MUSEUM HEX-1 PRIMARY SIDE TCV1120 A UNABLE TO CONTROL FRM DCIS,I&C,"MUSEUM INTAKE STATION HEX-1 PRIMARY SIDE VALVE TCV 1120A UNABLE TO CONTROL FROM DCIS.RAMPING UP AND DOWN EXCEPT.DURING THIS TIME SECONDARY CHILLED WATER SUPPLY TEMPERATURE UNABLE TO MAINTAIN BETWEEN THE RANGE.

WHEN CHECK ONSITE THAT VALVE SELECT LOCAL MODE 20 PERCENTAGE OPEN FOR OPERATION.

5 SEP 11- INFORMED APECO TO ARRANGE FOR SUPPLIER TO COME TO CHECK. LEC

7/12/11 - REPLACEMENT ACTUATOR WILL ARRIVED IN MID-DEC 11. - LEC

02/09/2011 - YBI : DOUBLE CREATION. PLS REFER TO WO.1336"
1425,DCP2 - NEW WATER TANK LT-051A FAULTY,I&C,"02/09/2011 DCP-2:  LT-051A FAULTY,  READING SHOWN 0.0M ON DCS BUT LOCAL IS 9.20M.

5/9/11 - LT IS INTERMITTENT. NEED TO CHECK FURTHER ON THE LT ECHO SIGNAL STRENGTH/NOISE ETC.
8/9/11 - AFTER MONITORING, SO FAR NO MORE ALARM. TO CLOSE WO AND MONITOR FURTHER. LEC"
1426,DCP2 - WCP-1 NOISE FROM PUMP DURING RUNNING,MECH,"3/9/2011 - WCP-1 EXCESSIVE NOISE COME FROM PUMP SIDE. OPENED THE INSULATION COVER AND CHECK THERE'S STILL SOUND FROM PUMP.

6/9/2011 - CHECK ON SITE WITH THE MOTOR RUNNING AND CONFIRM THERE'S NO MORE ABNORMAL NOISE. WILL KEEP IT UNDER MONITORING.- TEO"
1427,DCP2 GENSET MODBUS COM ERROR FREQUENT ALARMS,I&C,"DCP 2-GENSET MODBUS COM ERROR FREQUENT ALARMS IN OPERATOR PCs IS VERY DISTURBING TO OPERATORS.

1/12/2011 - RESET THE COMMUNICATION AND TEST OK. UNDER MONITORING."
1428,DCP2 - PORTABLE WATER TANK-2  WATER LEAK FROM BT 045B-4 VALVE FLANGE,MECH,"4/9/2011 - BUTTERFLY VALVE LEAKING (DRIPPING), CANNOT BE TIGHTENED."
1429,DCP1-WCP2 MOTOR TERMINAL BROKEN WHEN REMOVING THE COVER,ELEC,"06/09/2011 - MALEK : WHEN OPENING UP THE MOTOR TERMINAL BOX, FOUND THAT THE TERMINAL BLOCK IS NOT IN GOOD CONDITION. KELVIN HAS ALREADY ASKED SUPPLIERS FOR SPARES.

08/09/2011 - KELVIN : REPLACED THE TERMINAL AND TEST OK"
1430,WATER CHILLER REWIRING OF CONTROL POWER SUPPLY,ELEC,"06/09/2011 - TEY PK : MODIFICATION OF ELECTRICAL UPS POWER FOR 6.6KV VCU, WATER CHILLER AND 6.6KV VSD TO PREVENT COMMON FAILURE MODE

15/10/2011 - 6.6KV VCU COMPLETED

15/11/2011 - WATER CHILLER 4 AT DCP-1 COMPLETED

22/11/2011 - WATER CHILLER 5 AT DCP-1 COMPLETED

12/12/2011 - ROCKWELL VSD FOR DSP 4,5 & 9 COMPLETED

13/12/2011 - WATER CHILLER 1 & 6 AT DCP-2 COMPLETED

20/1/2012 - BRINE CHILLER 3 AT DCP-1 HAS TO BE ON-HOLD DUE TO SPACE CONSTRAINT. KELVIN WILL BE DESIGNING A NEW ROUTE SO AS NOT TO AFFECT THE IP RATING OF THE MCP
            CABINET.

5/3/2012  - WATER CHILLER 2 AT DCP-2 COMPLETED

13/3/2012 - WATER CHILLER 3 AT DCP-2 COMPLETED

19/3/2012 - WATER CHILLER 4 AT DCP-2 COMPLETED

11/4/2012 - WATER CHILLER 5 AT DCP-2 COMPLETED"
1431,DCP2 WCP-1 PUMP DRIVE END BEARING NOISE,MECH,"08/09/2011 - WCP-1 DRIVE END BEARING WAS REPORT ABNORMAL NOISE BY OPERATION & MAINTENANCE CARRY OUT GREASE LUBICATION ABNORMAL GO OFF. - YEO, NOOR, REZUAN

09/09/2011 - THE ABNORMAL NOISE ON DRIVE END BEARING COME BACK AGAIN THE NEXT DAY MAINTENANCE RECOMMEND TO HAVE PUMP BEARING REPLACE. - YEO

18/10/2011 - LIFTED UP WCP1 MOTOR TO ACCESS TO BEARING SIDE. WILL REMOVE BEARING TOMORROW. - YEO,SALIHIN,MOKTHER,LIN SONG.

20/10/2011 - REMOVE PUMP HOUSING/SHAFT AND ENABLE US TO REMOVE THE BEARING. - ANTHONY,YEO,SALIHIN,MOKTHER,LIN SONG.

21/10/2011 - REPLACE DE BEARING FYH-FC214-70MM DIA NDE BEARING FYH-FC212-60MM DIA & REINSTALL BACK PUMP SHAFT/HOUSING.- ANTHONY,YEO,SALIHIN,MOKTHER,LIN SONG.
             MECHANICAL SEAT DE JOHN CRANE TJ-0750-S2 ( CARBON & SILICON CARBIN SEAT ) & NDE JHON CRANE TJ-0650-S3 ( CARBON & CEREMAR SEAT )

24/10/2011 - REALIGNMENT PUMP/MOTOR,TAKE VIBRATION & TEST RUN WCP1 . ANTHONY,YEO,SALIHIN,LIN SONG."
1432,DCP2  OVER HEAD HOIST 20 TON CANNOT MOVE SIDE TO SIDE @ B2M,SAFETY,"DCP 2  OVER HEAD HOIST 20 TON CANNOT MOVE SIDE TO SIDE  @  B2M
( OVER HEAD HOIST ENCLOSURE  S/No. : HJX01637/09 ). 

12/09/2011 - ANTHONY GOH : ALREADY CHECKED MAIN POWER SUPPLY PANEL NORMAL
                           WILL ARRANGE FOR SIVA/APECO TO HOIST UP SCISSOR LIFT TO B2M TO CHECK THE MOTOR DB LOCATED ON TOP.

03/10/2011 - RAYMOND ARRANGING FOR CONTRACTOR TO CHECK

COMPLETED BY ARIFF"
1433,DCP1 - WC-2 STARTING TRIPPED DUE TO ABNORMAL SENSOR 09CH ERROR,I&C,"11/9/2011 - WC-2 MCP TRIPPED BEFORE COMP STARTING DUE TO ( ABNORMAL SENSOR ALARM, LOW LOAD AND TRIPPED). NO READING VALUE OF CHW ENTERING TEMP ON MCP. CAN READ IT DCIS AND LCP. LCP ALARM IS "" LCP - WC2 AC230 DIST CB DISCONNECTED""

11/09/2011 - ACK : REPLACRD ANOTHER TEMPERATURE SENSOR & RUN BACK MORMAL."
1434,DCP1 - WC-2 TE-120A-1 INACCURATE READING.,I&C,"11/09/11 - WC-2 TE-120A-1 READING IS FOUND TO BE INACCURATE. READING IS OUT BY 0.5DEGREE CALCIUS BETWEEN THE LCP & MCP.

12/09/2011 - MEERA : WILL PURCHASE TEMPERATURE SENSOR FOR REPLACEMENT.

16/09/2011 - MEERA / MOKTHER : REPLACED THE NEW TEMPERATURE SENSOR IN WC2 CHILLED WATER SIDE BOTH SUPPLY AND RETURN TEMP (TE-120 A-1, TE-120 A-2). AFTER THE REPLACEMENT THE DIFFERENCE BETWEEN MCP AND LCP IS ZERO DEG C. JOB COMPLETED."
1435,DCP1 - WCDP3 MOTOR TERMINAL CRACK,ELEC,"13/09/2011 - DURING THE ANNUAL SHUTDOWN OF WC3, MAINTENANCE TEAM OPENED UP AND FOUND THERE'S CRACK FOR TERMINAL AT WCDP3. KELVIN HAS ORDERED NEW PARTS

14/09/2011 - LS & MMK : REPLACED A NEW TERMINAL BLOCK."
1436,DCP2 - HW PORTABLE  WATER TANK ( PWT 2 ) FLOAT  VALVE MALFUNCTION.,MECH,"DCP 2  HW PORTABLE  WATER TANK ( PWT 2 ) FLOAT  VALVE MALFUNCTION CAUSES

1. BT-045B-2 FLANGE NEAREST TO TANK IS LEAKING 
2. TANK WATER SLIGHT OVER FLOWING.

15/09/2011 - REPLACED RUBBER GASKET WITH NEW NON-ABESTOS GASKET (BOTH SIDES OF THE FLANGE). AFTER THAT NO LEAKAGE.-VETRI"
1438,NEMS PC FAIL TO UP DATE RTP PRICE. ( 6:30 AM ),I&C,"NEMS PC FAIL TO UP DATE RTP PRICE. ( 6:30 AM )
1. AFTER RESTART NEMS PC  STILL CANNOT UP DATE RTP PRICE  .

15/09/2011 - MEERA : RESTART NEMS PC & MONITOR BACK TO NORMAL."
1439,DCP2 WC - NEED TO ACTIVATE BY PASS VALVE OPENING WHEN TRIPPED,I&C,"DCP-2 WCs- NEEDED TO BE  ACTIVATED BY PASS VALVE OPENING  WHEN CHILLER TRIPPED AND THEN  CHILLED WATER OUTLET TEMP WENT TO 6DEG C.   


02/05/2012 - MEERA - AS OPERATION POINT OF VIEW IF ANY CHILLER TRIP THE OPERATOR NEED INTERVESION TO STOP AND RESETING CHILLER SYSTEM AND MINIMUM FIND OUT FROM SCREEN WHAT IS CAUSE FOR TRIP. IF CHWP BY PASS VALVE MAKE TO AUTOMATIC THE OPERATOR NOT TAKEING IMMDITATE ACTION.

I HAVE READ THE LOGIC FOR STOP SEQUENCE & TRIP SEQUENCE THEY USING VALVE BY PASS CIRCULAT FOR NORMAL STOP SEQUENCE.

IT IS NOT ADVISABLE MORE LOGIC TO INSERT TO CONTROL THE VALVE WHEN TRIP ACTIVATED. IT MAY AFFTECTING ALL THE CHILLER LIBRATY ALSO.

THE CONCLUSION, FOLLOW THE EXISTING TRIP SEQUENCE AND IF ANY TRIP HAPPEND TO THE SYSTEM NEED OPERATOR TO MANUALLY CONTROL THE XV-VALVE FOR AVOID HOT WATER ENTER INTO NETWORK SIDE."
1440,CT-5 LT-250E MALFUNCTION SHOWS 0,I&C,"Sept Work Order. Suddenly appears.

Already solved and closed WO sometime ago. LEC"
1441,DCP-2  WCDP-3'S MOTOR  WINDING TEMP 'R' SENSOR FAULTY,I&C,"19/09/2011 DCP2 WCDP-3'S MOTOR WINDING TEMP R SENSOR FAULTY. 
                WCDP-3 TRIPPED DUE TO PROCESS TRIP B AND UNABLE TO RESET UNLESS PUTTING 
                FORCE VALUE FOR WINDING TEMP TO NORMAL.


20/09/2011 - RTD SENSOR CABLE TERMINATION NOT FULLY TIGHT AND AFTER FULL TIGHT THE VALUES STABLE. - MEERA."
1442,DCP2 LCP HP TRIPPED AND THE WHOLE HOT WATER SYSTEM DOWN,I&C,"DCP 2-LCP HW TRIPPED AND THE WHOLE HOT WATER SYSTEM DOWN .TRIPPED 3 TIMES WITHIN AN HOUR .FOUND OUT LCP HW CB TRIPPED AND  MODBUS COM ERROR ALARM.

26/9/11 - During troubleshooting, MCBs were off to isolate and identify the problem. MCBs were then on, one at a time and leave it for a period of time. So far no more trip. To monitor - LEC

7/10/11 - Monitor until today for almost 2 weeks no more tripping. To close work order and monitor. LEC"
1443,DCP1-CT8 TRIPPED DUE TO DRIVE FAULT,ELEC,"20/09/2011 - DRIVE TRIPPED WHILE RUNNING DURING RAINING TIME. CHECK ON VSD HAS ""EARTH FAULT"". MAINTENANCE GO TO MEGGER AND FOUND THAT ALL 3 PHASES IS <0.1M OHM.                WILL CONTINUE CHECK ON MOTOR TERMINAL BOX BECAUSE IT'S RAINING HEAVILY.

21/09/2011 - MEGGER AGAIN ON THE CABLE & MOTOR DURING SUNNY DAY, READING IS NORMAL (>80M OHM) - KELVIN & LIN SONG
           - OPEN MOTOR TERMINAL DISCOVER WIRE TERMINAL BLOCK BROKEN. MAINTENANCE REPLACE WITH SPARE TERMINAL BLOCK. THE TERMINAL BOX COVER IS CLOSED WITH SILICON              GEL - KELVIN & LIN SONG
           - MAIN CABLE TO MOTOR INSIDE FLEXIBLE CONDUIT TEAR MAYBE THAT RESULT DURING RAINING TIME IT SHORT TO EARTH.
             RECTIFY WITH INSULATION TAPE OPERATION NEED TO MONITOR - YEO & LIN SONG."
1444,DCP2 FILTRATIOM SYSTEM -CTEF NO-2 (P2/CV -258 B -3 ) OVER FLOW.,OPERATIONS,"23/09 /2011 - BASIN FILTRATION NO- 2 (CTEF-2) P2/CV-258-3 COOLING WATER OVER FLOW IN THE SAND FILTER ROOM.
 
TO AVOID WATER FLOODING ON THE FLOOR:
       
1) P2/BV-258B-1 INLET VALVE CLOSED.
2) P2/BV-257B-1 OUTLET VALVE CLOSED.
3) BOOSTER PUMP PANNEL MCB NO-2 TURN OFF.
4) FILTRATION NO-2 INSIDE CONTROLL PANEL MCB TURN OFF....

30/09/2011 - OPEN CTF2 & CTF4 AND CONFIRM THAT THE FILTER MEDIA LEVEL IS VERY LOW AND THE STAINER FOR CTF2 DAMAGED -RAYMOND & VETRI.

7/10/2011 - kURITA CAME DOWN TO CHECK THE SYSTEM. PROPOSE TO DO ONE ANNUAL SERVICING FOR ALL THE FOUR FILTERATION SYSTEM. BUT THE COSTING IS VERY HIGH. - KOH.
 
21/10/2011 - KURITA TAKE SAMPLE FOR FILTER MEDIA AND SEND TO THEIR LAB TO CHECK THE CONDITION OF THE MEDIA TO CONFIRM WHETHER THE REPLACEMENT OF THE MEDIA IS              NECESSARY.

4/11/2011 - RECIEVED THE REPORT STATING THE CONDITION OF THE MEDIA IS BAD SO KURITA PROPOSE TO CHANGE THE MEDIA.

25/11/2011 - MEET UP WITH THEIR HIGHER MANAGEMENT TO DISCUSS ABOUT THE WAYS TO AVOID THE LOSS OF MEDIA INTO THE WASTE WATER DURING BACKWASH.

5/12/2011 - CONTROLLER FOR THE CTF2 GOT THE INPUT BUT NO OUTPUT CONTROL SIGNAL TO THE BOOSTER AND AGITATOR SYSTEM -VETRI & MEERA."
1445,GBB INTAKE STATION PRI RETURN TEMPERATURE SENSOR FALSE READING,I&C," 24/09/2011 ..... GBB INTAKE  STATION PRIMARY RETURN TEMPERATURE SENSOR SHOWS FALSE READING AND ITS ABNORMAL COMPARE WITH GBB HEADER TEMP READINGS
                  TAG (R16 -TE-1130).

 28/09/2011 - TEMPERATURE SENSOR FAULTY AND REPLACED THE NEW RTD TEMPERATUE SENSOR AFTER THAT THE VALUES ARE SAME AT BOTH LCP AND BTU METER. - MEERA."
1446,DCP2- CT-7 TRIPPED DUE TO EXTERNAL FAULT.(VIBRATION SWITCH),MECH,"DCP2- CT-7 TRIPPED DUE TO EXTERNAL FAULT.(VIBRATION SWITCH)

12/11/2011 - RESETTED BACK & RUN THE FAN. TO MONITOR FOR 1 WEEK.

18/11/2011 - CHECKED ON THE VIBRATION, THE READINGS ON GEARBOX IS NORMAL (<1MM/S) BUT THE MOTOR SIDE IS VIBRATING ON 9MM/S WHEN IT'S RUNNING 70%. NEED TO ISSUE              THIS MATTER BY RAYMOND & TEO HS"
1447,DCP2 - NEWATER PUMP NO.2 COUPLING BROKEN,MECH,"28/12/11 - FOUND NEWATER PUMP NO.2 COUPLING BROKEN & PUT TO OOS.

03/01/2012 - PURCHASED & REPLACED A NEW SET OF SPACER HUB & TEST RUN - NORMAL.
             ALREADY TAKEN ALIGNMENT DATA."
1447,DCP2 - NEWATER PUMP NO.2 COUPLING BROKEN,MECH,"28/12/11 - FOUND NEWATER PUMP NO.2 COUPLING BROKEN & PUT TO OOS.

03/01/2012 - PURCHASED & REPLACED A NEW SET OF SPACER HUB & TEST RUN - NORMAL.
             ALREADY TAKEN ALIGNMENT DATA."
1448,DCP1 L4 ELECTRICAL ROOM TEMPERATURE TOO HIGH,FACILITY,"24/09/2011 ..DCP1-L4 ELECTRICAL ROOM TEMPERATURE TOO HIGH EVEN THOUGH  BOTH AHU & BOOSTER PUMP RUNNING LOCALLY .
25/09/2011...(AZAM/NOOR)LEVEL 4 AHU 14-1 UNIT REMOVE FILTER &  CLEAN PUT BACK TO SAME POSITION . NOW MONITOR ROOM TEMPARATURE.
             2) NEED TO ORDER NEW AIR FILTER MODEL NO: 1 (AAF INTERNATIONEL - 289MM X 594MM X 44MM)
                                                       2 (AAF INTERNATIONEL - 492 MM X 594MM X 44MM)

27/09/2011 - YBI : PURGED AIR LOCK ON 2 OCCASSION(MORNING & AFTERNOON. A LOT OF AIR LOCK TRAPPED INSIDE CHILLED WATER SYSTEM."
1449,DCP2  WASTE WATER PUMP-1 WATER LEAKAGE.,MECH,"DCP-2  WASTE WATER PUMP-1 WATER LEAKAGE. NEED TO CHECK MECHANICAL SEAL AND REPLACE IF REQUIRE.

4/10/2011 - DISMANTLE WASTE WATER PUMP 1 BACK TO DCP-1 WORKSHOP FOR REPAIR - YEO, ANTHONY, YUSLANE,SELIHIN.

5/10/2011 - REPLACED MECHANICAL SEAL REINSTALL AT DCP-2, RELIGNMENT PUMP/MOTOR AND TEST RUN ANTHONY,YEO,YUSLANE,SELIHIN.
            MECHANICAL BELLOW SEAL CARBON/SILICONE PART NO. SDG/04502100 PELITA TRISUM 0450-S  PURCHASE FORM YONG LENG TRADING CO. COST: $150.00.
            'O' RING PART NO 3MM X 400MM FOR PUMP COVER PURCHASE FROM GARLIN PTE LTD COST: $7.00
            SILICONE GREASE SAPPHIRE AQUA SIL 85G FOR MECHANICAL SEAL O RING FROM VOSS: $ 47.00"
1450,DCP-1 NEW WATER MAKE UP PUMP -3 START UP TRIP,ELEC,DOUBLE CREATION BY CTS - REFER TO WO.1451
1451,DCP1 NWMP-3 START-UP TRIP,ELEC,"27/9/2011 - DCP-1 NWMP-3 START-UP TRIP. ALARM SHOW PosD_ON, PoSD_Ind, 
ELECTRICAL TRIP SHOW UNDER LOAD,NO LOAD.

27/09/2011 - YBI,YBY & KEL : AFTER CHECKING, FOUND THAT OFF DELAY TIMER RELAY FAULTY. REPLACED A NEW ONE & TESTED OPERATION WITH SOE MIN.
                             SYSTEM BACK TO NORMAL AS REPORTED NO TRIP BY NIGHT SHIFT."
1452,DCP1 UPS PANEL D3 ELCB FEEDERS TRIPPED,ELEC,"ON 28 SEP 2011 AT ABOUT 00:22HRS

P1 UPS PANEL ELCB TRIPPED

THIS TRIP EFFECTED FOLLOWING EQUIPMENTS
1. LCP BC-1
2.LCP WC-2
3. LCP WC-3
4. LCP C-1

CORRECTIVE ACTIONS TAKEN AND FAULT RESETTED. 

OPERATIONS IS NOT AFFECTED.

NEED FOR FOLLOW-UP AND DETERMINE CAUSE.

29/9/2011 - CHECK FOUND THAT ONE OF THE EXIT LIGHT IS BROKEN AT LEVEL 4, WHICH IS USING UPS SOURCE. CHANGE THE EXIT LIGHT AND TEST OK. NOW UNDER MONITORING"
1453,DCP2 CT BLOW DOWN VALVE XV-255-1 PVC COUPLING WELDING JOINT LEAK AGAIN.,MECH,"DCP 2 CT BLOW DOWN VALVE XV-255-1 PVC COUPLING WELDING JOINT LEAK AGAIN.
PLACE A CANVAS SHEET TO PROTECT WC 2-1  MOTOR TERMINATION BOX TO PREVENT WATER INGRESS.

16/12/2011 - YBI: MOKTHER SUPERVISED 2 APECO STAFF TO CUT EXIXTING UPVC PIPE & REPLACED A NEW ONE.
19/12/2011 - YBI : OPENED CT BLOWDOWN VALVE FROM HEADER ABOUT 10% & REQUESTED ZAWLATT TO HANDOVER TO OTHER TEAMS TO CHECK FOR ANY LEAKAGE
                   UNTIL MONDAY. 

05/01/2012 - MOKTHER : WELDED THE UPVC PIPE & TESTED WITH ZAWLATT. OPENED MANUAL VALVE 100% FOR 10MINS-NO LEAKAGE.
                       HANDOVER BACK TO OPERATION & WILL MONITOR FOR 2 WEEKS."
1454,DCP2 - AIR COMPRESSOR NO.2 TRIPPED,MECH,"29/9/2011 - AIR COMPRESSOR TRIPPED IN THE NIGHT. OPERATOR GO AND RESET IT AND TEST OK. NEXT DAY, KELVIN WENT TO CHECK AND FOUND THAT IT'S DUE TO OVER TEMPERATURE              DUE TO DIRTY FILTER. KELVIN ALREADY ASKED OPERATORS TO HELP CLEAN THE FILTERS. NOW UNDER MONITORING."
1455,DCP1 - SPARE COOLING TOWER INSUM COMM ERROR,I&C,"29/9/2011 - ALL THE INSUM COOLING TOWER LOSS COMMUNICATION. CHECKED FOUND THAT 24VDC POWER SUPPLY HAS ALREADY FAULTY. NEED TO CHANGE WHEN ANNUAL SHUTDOWN BECAUSE              THE BREAKER ALSO SUPPLY PARALLEL SOURCE TO CONTROL RUNNING COOLING TOWER VSD.(ONLY SPARE COOLING TOWERS ARE AFFECTED) - KELVIN

17/11/2011 - DURING ELECTRICAL SHUTDOWN, ALREADY CHANGED POWER SUPPLY BUT STILL NO COMMUNICATE WITH DCIS. EE CHEE WILL LOOK INTO IT. - KELVIN"
1457,DCP1 BC3  UNABLE START M1 MODE CAUSE LCP SIDE BCDP3 UNABLE TO REMOTE,I&C,"03/10/2011  ... 1) BC-3 UNABLE TO START SEQUNCE DURING M1 MODE .
                2) DUE TO @ LOCAL LCP SIDE BCDP-3 SHOWS ITS MANUAL MODE.
                3) TRY SWITCH AUTO MODE BUT ITS BACK TO MANUAL MODE AGAIN.

06/10/2011 - BCDP -3 PUMP IN MONITORING MODE THAT WAY SYSTEM IS NOT ACTIVATE THE AUTO SEQUENCE AFTER CORRECTING THE PURM CONFIGURATION THE SYSTEM RUNNING NORMAL."
1458,DCP1 DSP-6 TRIPPED DUE TO DRIVE FAULT ( ELECTRICAL TRIP),ELEC,"01/ 10 /2011 - DSP-6 TRIPPED DUE TO DRIVE FAULT ADN DRIVE TRIPPED, VSD PANNEL SHOWS THAT FAULT ID-2 (NP TO GND OVERVOLT). CHECK ON 6.6KV PANEL & MPR DISPLAY                      FAULT NO.4 (HIGH SET OVERCURRENT). ABB IS NOW RESOLVING THIS ISSUE. - RAYMOND

14/10/2011 - HAS BEEN NORMALISED AND RUNNING. - KELVIN"
1459,DCP2- WC3-2 MODBUS COM ERROR AND UNABLE TO READ AMPERE FROM DCIS,I&C,"05/10/2011 - WC3-2 COMPRESSOR MOTOR NOT SHOWING CURRENT AMPERE DUE TO MODBUS COMM ERROR.- SOE MIN
05/10/2011 - CHECK ON THE POWER METER IS NORMAL. RESTART THE POWER METER AND THE COMMUNICATION IS NORMALISED. - ANTHONY & EE CHEE"
1460,ASIA SQUARE PODIUM HEX-1 UNABLE TO CONTROL FROM DCIS.100% ALWAYS OPEN,I&C,"PLEASE OPERATION TEAM TO WRITE THE FIRST INVESTICATION REPORT (FIR). 


07/10/2010 - INTAKE STATION ASIA SQUARE - PRIMARY FCV VALVE HANG AFTER THAT RESET THE ELECTRIC ACTUATOR THAN BACK TO NORMAL. RETURN TO OPERATION FOR FURTHER                     MONITORING. - MEERA."
